DATAFLOW,LAST UPDATE,freq,deg_urb,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,EU27_2020,2014,2.1,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,EU28,2014,3.0,e
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,FI,2014,5.8,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,HR,2014,0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,HU,2014,1.7,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,IE,2014,11.7,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,IS,2014,4.1,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,IT,2014,0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,LT,2014,1.6,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,LU,2014,6.5,u
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,LV,2014,3.4,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,MT,2014,6.7,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,NO,2014,2.6,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,PL,2014,4.6,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,PT,2014,0.3,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,RO,2014,0.2,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,SE,2014,2.1,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,SI,2014,1.3,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,SK,2014,0.8,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,TR,2014,0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-24,PC,UK,2014,8.0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,AT,2014,2.6,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,BE,2014,0.7,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,BG,2014,0.4,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,CY,2014,0.3,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,CZ,2014,2.0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,DE,2014,4.0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,DK,2014,5.9,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,EE,2014,0.8,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,EL,2014,1.6,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,ES,2014,0.8,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,EU27_2020,2014,2.0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,EU28,2014,3.2,e
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,FI,2014,6.7,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,HR,2014,0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,HU,2014,1.6,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,IE,2014,11.6,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,IS,2014,3.1,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,IT,2014,0.5,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,LT,2014,1.6,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,LU,2014,5.4,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,LV,2014,3.2,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,MT,2014,4.5,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,NO,2014,3.9,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,PL,2014,4.2,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,PT,2014,0.5,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,RO,2014,0.1,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,SE,2014,1.5,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,SI,2014,0.9,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,SK,2014,1.2,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y15-29,PC,TR,2014,0,
