NR,DIE,CC1400-1999,IS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1328 ,329 e,124 ,92 ,60 ,107 ,126 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC1400-1999,IT,475838 ,736135 ,924059 ,1044911 ,977056 ,804665 ,678226 ,617719 ,644373 ,849256 d,794846 d,794727 ,954513 d,1198415 d,1279553 d,1251477 d,1355963 d,994796 d,761574 d,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC1400-1999,LI,314 ,500 ,437 ,596 ,684 ,644 ,498 ,577 ,595 ,456 ,401 ,269 ,362 ,350 ,320 ,: ,300 ,290 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC1400-1999,LT,: ,59516 ,68375 ,65618 ,61158 ,60192 ,63746 ,69632 ,72679 ,67595 ,75017 ,50719 d,56636 ,66315 ,43556 ,28095 ,19701 ,16552 d,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC1400-1999,LU,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,25507 ,29098 ,23272 ,26806 ,25864 ,23774 ,19117 ,19418 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC1400-1999,LV,4228 ,6000 ,5710 ,5867 ,5803 ,4825 ,4804 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC1400-1999,ME,: ,986 ,1346 ,1445 ,1087 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC1400-1999,MK,: ,: ,: ,: ,: ,: ,: ,17346 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC1400-1999,MT,1021 ,1971 ,2194 ,2368 ,2300 ,2247 ,4267 ,3723 ,3589 ,4039 ,2616 ,2422 ,936 ,952 ,956 ,969 ,: ,: ,4684 ,5007 ,5840 ,3570 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC1400-1999,NO,14044 ,21804 ,24299 ,32274 ,37722 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC1400-1999,PL,347273 ,418506 ,446961 ,414158 ,435470 ,392817 ,387427 ,387397 ,379443 ,413651 ,408270 ,396307 ,505474 ,362888 ,234322 ,203772 ,117565 ,31444 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC1400-1999,PT,: ,82108 ,108032 e,121014 e,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC1400-1999,RO,32224 ,39786 ,47373 ,47331 ,41705 ,37003 ,32123 ,24440 ,26698 d,52655 ,92598 d,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC1400-1999,SE,60053 ,109353 ,112577 ,144428 ,141719 ,140875 ,131121 ,124960 ,148023 ,146037 ,107784 ,55856 b,56051 u,61354 u,29848 u,13220 u,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC1400-1999,SI,16503 ,20614 ,21865 ,29551 ,29714 ,28242 ,26916 ,25174 ,22156 ,22881 ,19799 ,16368 ,21562 ,22250 ,19515 ,21936 ,: ,20630 ,13402 ,7607 ,4314 ,6392 ,4730 ,3650 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC1400-1999,TR,207605 ,193225 ,294804 ,402630 ,401150 ,387302 ,290666 ,281205 ,224397 ,224010 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC1400-1999,UK,: ,: ,585287 ,843242 ,1019066 ,967675 ,: ,: ,: ,698717 d,665933 d,562638 d,638478 d,: c,: c,: ,572967 ,497042 ,473083 ,362431 ,260626 ,: ,269090 ,270095 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC1400-1999,XK,: ,17368 ,5914 ,12896 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,AT,7033 ,13408 ,18255 ,21456 ,21937 ,22831 ,24351 ,24737 ,23585 ,24711 ,22200 ,23394 ,27486 ,33209 ,36345 ,: ,36434 ,38612 ,36452 ,34661 ,35597 ,33411 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,BA,3614 ,7682 ,6889 ,5949 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,BE,8597 ,14526 ,21924 ,24561 ,28504 ,33215 ,32980 ,32545 ,36021 ,: ,39999 ,40699 ,52425 ,54719 ,52332 ,44302 ,49205 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,CH,8700 ,15100 ,20600 ,27800 ,32800 ,36100 ,34100 ,33800 ,36000 ,31400 e,26000 ,24900 e,28900 ,30700 ,27800 ,22976 ,23857 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,CY,243 ,357 ,578 ,639 ,682 ,662 ,711 ,358 ,1526 ,2158 ,2586 ,3139 ,3399 ,2250 ,446 ,420 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,DE,145474 ,183795 ,244504 ,313443 ,362227 ,382065 ,365138 ,349165 ,365806 ,383111 ,326683 ,333744 ,410496 ,455683 ,465254 ,424930 ,457150 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,EE,651 ,867 ,1031 ,1198 ,1378 ,1405 ,2036 ,1719 ,1775 ,1440 ,717 ,1014 ,2343 ,3439 ,2766 ,: ,1353 ,1176 ,872 ,604 ,523 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,EL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1702 ,728 ,704 ,576 ,444 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,ES,21001 ,40345 ,63343 ,74319 ,72082 ,64636 ,47793 ,: ,37827 d,48005 d,63506 d,63356 d,93284 d,143362 d,148220 d,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,FI,2485 ,3055 ,3969 ,5329 ,7049 ,7755 ,9202 ,9456 ,10957 ,13069 ,12242 ,12375 d,17708 d,14259 d,14013 d,: ,7834 d,7947 d,6849 d,5955 d,7177 d,5754 d,5422 d,5381 d,4309 d,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,FR,8838 ,34071 ,50992 ,65673 ,71767 ,74008 ,67184 ,69630 ,96347 ,96020 ,89486 ,98838 ,113964 ,179143 ,170487 d,: ,183637 ,206480 ,203995 ,168579 ,132448 ,139078 ,158768 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,HR,4823 ,7631 ,7325 ,5059 ,7372 ,5992 ,5748 ,4487 ,3405 ,3393 ,3468 ,4707 ,7187 ,9562 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,HU,2954 ,4025 ,4451 ,4671 ,4364 ,5887 ,5233 ,4363 ,: ,: ,: ,: ,12158 ,6896 ,6186 ,: ,4206 ,3120 ,2393 ,1546 ,1011 ,754 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,IE,2738 ,4830 ,5954 ,6696 ,6598 ,6987 ,5130 ,4261 ,4314 ,4755 ,6083 ,4036 ,14592 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,IS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2616 ,1426 e,1261 ,826 ,980 ,2453 ,2633 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,IT,29561 ,56916 ,75165 ,81888 ,75161 ,74281 ,67540 ,67385 ,78556 ,106766 ,103927 ,116208 ,157808 ,198012 ,222048 ,192421 ,238733 ,213226 ,156608 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,LI,108 ,163 ,206 ,243 ,290 ,290 ,295 ,271 ,317 ,283 ,265 ,221 ,313 ,390 ,330 ,: ,250 ,230 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,LT,: ,33140 ,39651 ,42411 ,36932 ,35231 ,33949 ,37804 ,35266 ,28844 ,32812 ,23370 d,27551 ,33450 ,22339 ,14753 ,10303 ,7834 d,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,LU,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,6661 ,8414 ,9140 ,9400 ,8015 ,8913 ,8398 ,6919 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,LV,642 ,890 ,997 ,1303 ,1203 ,1824 ,1914 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,ME,: ,151 ,188 ,4 ,135 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,MK,: ,: ,: ,: ,: ,: ,: ,4645 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,MT,35 ,92 ,175 ,209 ,254 ,303 ,1051 ,1032 ,1035 ,1150 ,784 ,597 ,290 ,280 ,288 ,303 ,: ,: ,283 ,384 ,306 ,393 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,NO,5130 ,6587 ,9992 ,12199 ,15756 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,PL,55997 ,65699 ,72283 ,66630 ,71853 ,65301 ,60327 ,57317 ,50406 ,50941 ,49479 ,53933 ,117615 ,100014 ,68727 ,51210 ,: ,4288 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,PT,: ,3415 ,7249 e,8485 e,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,RO,2739 ,4288 ,5939 ,6242 ,6225 ,6305 ,5974 ,5210 ,5663 d,9796 d,15032 d,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,SE,7840 ,13842 ,25399 ,46635 ,59572 ,62528 ,54258 ,46057 ,39542 ,39767 ,37459 ,29962 b,30801 u,45736 u,28444 u,16017 u,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,SI,414 ,833 ,1561 ,2256 ,2244 ,2223 ,1691 ,1678 ,1757 ,2185 ,2259 ,2883 ,4784 ,5212 ,3765 ,2681 ,: ,2180 ,1698 ,1246 ,904 ,1501 ,1072 ,1206 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,TR,2745 ,2789 ,3400 ,6245 ,8012 ,10151 ,8161 ,9343 ,8273 d,12137 d,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,UK,: ,: ,147762 ,199893 ,234957 ,269073 ,: ,: ,: ,201186 d,190549 d,191706 d,206906 d,: c,: c,: ,224129 ,184812 ,133780 ,95619 ,68422 ,: ,69325 ,68533 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_GE2000,XK,: ,4464 ,1543 ,3222 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_LT1400,AT,193 ,374 ,1896 ,4154 ,4858 ,6454 ,5789 ,7592 ,8238 ,8360 ,7648 ,5829 ,8751 ,11536 ,15913 ,: ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_LT1400,BA,1702 ,2423 ,2481 ,2266 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_LT1400,BE,319 ,388 ,1697 ,3504 ,5976 ,9572 ,15272 ,21471 ,29077 ,: ,50964 ,47014 ,59494 ,62236 ,63803 ,47287 ,48468 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_LT1400,CH,0 ,100 ,200 ,300 ,500 ,1100 ,1600 ,2100 ,2600 ,2600 e,2100 ,2400 e,2900 ,3300 ,4000 ,2973 ,2908 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_LT1400,CY,22 ,31 ,153 ,105 ,96 ,142 ,194 ,109 ,272 ,279 ,312 ,263 ,282 ,303 ,103 ,92 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_LT1400,DE,111 ,251 ,1315 ,3950 ,7009 ,10333 ,14373 ,26383 ,28357 ,33713 ,26265 ,30497 ,37564 ,47237 ,50959 ,46952 ,59138 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_LT1400,EE,0 ,5 ,75 ,48 ,73 ,163 ,187 ,161 ,237 ,146 ,91 ,126 ,168 ,280 ,287 ,: ,132 ,170 ,70 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_LT1400,EL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,9 ,3 ,3 ,1 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,DIE,CC_LT1400,ES,4595 ,6265 ,11498 ,24437 ,33164 ,38000 ,43858 ,: ,45896 d,53808 d,67885 d,63501 d,78844 d,108016 d,112051 d,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
