GEO,UNIT,MOT_NRG,ENGINE\TIME	1970	1975	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Romania,Number,Total,From 1 400 to 1 999 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovenia,Number,Total,From 1 400 to 1 999 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovakia,Number,Total,From 1 400 to 1 999 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Finland,Number,Total,From 1 400 to 1 999 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Sweden,Number,Total,From 1 400 to 1 999 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Iceland,Number,Total,From 1 400 to 1 999 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Liechtenstein,Number,Total,From 1 400 to 1 999 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Norway,Number,Total,From 1 400 to 1 999 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Switzerland,Number,Total,From 1 400 to 1 999 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
United Kingdom,Number,Total,From 1 400 to 1 999 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Montenegro,Number,Total,From 1 400 to 1 999 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
North Macedonia,Number,Total,From 1 400 to 1 999 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Albania,Number,Total,From 1 400 to 1 999 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Turkey,Number,Total,From 1 400 to 1 999 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Bosnia and Herzegovina,Number,Total,From 1 400 to 1 999 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Kosovo (under United Nations Security Council Resolution 1244/99),Number,Total,From 1 400 to 1 999 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Belgium,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Bulgaria,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Czechia,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Denmark,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Germany (until 1990 former territory of the FRG),Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Estonia,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Ireland,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Greece,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Spain,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
France,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Croatia,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Italy,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Cyprus,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Latvia,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Lithuania,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Luxembourg,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Hungary,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Malta,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Netherlands,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Austria,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Poland,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Portugal,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Romania,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovenia,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovakia,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Finland,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Sweden,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Iceland,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Liechtenstein,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Norway,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Switzerland,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
United Kingdom,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Montenegro,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
North Macedonia,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Albania,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Turkey,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Bosnia and Herzegovina,Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Kosovo (under United Nations Security Council Resolution 1244/99),Number,Total,2 000 cm³ or over	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Belgium,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	146,346	132,208	134,230	120,979	113,707	117,193	128,566	135,266	145,844	169,665	181,524	198,299	256,076	288,484	347,284	365,729	268,148
Bulgaria,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Czechia,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Denmark,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	89,831	117,333	82,288	:	:	:	:	122,644	127,172	137,698	140,371	142,607	141,320	155,867	120,674
Germany (until 1990 former territory of the FRG),Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	3,340,206	2,717,031	2,664,919	2,830,290	2,971,144	3,002,270	3,077,600	2,948,645	2,349,941	2,183,723	2,013,610	1,942,837	1,823,530	1,903,190	1,910,823	1,622,276	1,695,972	2,608,767	1,669,927	1,651,637	1,555,241	1,502,784	1,533,726	1,611,389	1,746,291	1,986,488	2,142,700	2,136,891	1,361,723
Estonia,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	8,462	10,975	12,219	12,929	13,118	:	18,978	22,394	18,495	6,465	6,890	11,372	12,049	12,208	13,054	14,069	16,592	19,177	19,686	20,510	13,164
Ireland,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	51,279	:	:	:	:	71,649	:	57,293	51,133	64,782	69,666	94,695	111,308	121,210	151,219	201,938	139,909	125,347	117,765	121,196	129,209	128,634	130,846	95,562	20,988	34,675	29,603	17,791	19,892	21,067	35,311	41,160	40,798	48,840	:	46,630
Greece,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	152,341	115,917	130,480	138,360	163,822	181,605	266,783	300,456	287,514	275,210	267,663	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Spain,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	608,145	694,239	585,950	599,030	623,613	662,798	735,779	681,967	718,980	603,178	:	:	:	521,235	495,902	377,826	298,852	299,637	249,180	224,403	:	297,176	394,777	509,247	648,790	838,217	882,966	573,573
France,Number,Petroleum products,Total	:	:	1,831,187	1,687,163	1,619,475	1,834,867	1,824,565	1,517,193	1,501,473	1,612,025	1,720,991	1,694,629	1,595,925	1,546,938	1,250,653	1,284,983	937,925	1,032,913	1,032,418	1,294,152	990,040	1,138,628	1,185,187	1,080,849	981,301	784,799	651,356	617,449	:	568,243	532,685	459,953	642,691	572,862	581,508	486,968	562,849	623,201	777,645	928,357	1,073,148	1,277,064	1,373,999	983,569
Croatia,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	23,307	43,909	43,289	49,330	56,660	87,318	70,245	70,136	73,179	74,834	60,230	58,102	50,126	53,554	64,763	59,600	58,348	32,423	26,503	24,150	17,425	15,245	16,690	16,311	20,490	20,875	40,964	47,453	28,079
Italy,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	1,587,538	1,556,470	1,965,508	1,900,170	:	:	:	1,285,215	1,290,193	1,125,297	965,077	1,005,815	1,030,105	933,410	800,690	720,802	695,530	474,948	419,045	:	:	:	:	:	969,245	773,479
Cyprus,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	17,874	15,823	16,712	11,973	12,113	16,040	17,618	16,668	19,692	16,476	16,430	21,469	25,866	28,618	42,778	37,383	35,768	46,812	44,719	30,948	26,607	22,700	16,698	5,784	5,086	5,917	7,134	7,650	7,857	8,011	7,130
Latvia,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	47,278	46,380	60,175	48,195	39,196	28,638	27,528	28,144	33,352	38,252	46,891	59,962	62,475	31,542	8,757	11,047	14,491	13,960	14,293	5,759	7,211	9,381	9,488	10,240	11,393	8,363
Lithuania,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	68,097	93,645	104,409	130,525	118,712	119,120	105,988	61,303	50,418	32,915	42,350	44,919	35,029	33,550	36,296	47,486	55,574	66,641	32,922
Luxembourg,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	16,523	14,876	13,233	11,894	11,437	11,400	11,856	12,616	:	:	:	:	:	:	:	:	:	:	:
Hungary,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	36,641	58,009	43,372	53,250	60,835	68,348	97,566	121,391	122,875	127,563	144,887	168,844	155,803	:	113,350	95,566	110,383	:	30,157	34,022	47,425	30,458	37,621	44,873	61,753	78,458	102,718	123,906	93,177
Malta,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	7,948	9,369	6,853	4,865	4,853	:	:	8,276	8,300	7,897	7,989	12,354	9,655	9,791	7,671	7,800	9,614	4,418	4,679	5,133	5,477	5,327	3,342
Netherlands,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	396,257	432,059	471,274	462,412	408,305	:	:	:	331,027	342,397	351,671	352,478	288,019	364,054	374,811	323,370	307,912	275,419	314,882	304,643	331,608	360,573	350,014	267,482
Austria,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	160,406	155,805	128,480	134,556	133,951	118,133	100,833	84,905	85,586	91,022	:	116,282	120,424	131,616	170,847	159,740	159,027	143,325	136,689	128,670	125,656	136,148	171,862	192,503	189,054	133,151
Poland,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	393,927	548,099	644,734	517,726	540,256	443,682	355,662	:	220,339	589,018	591,783	546,325	580,706	578,430	358,015	354,925	392,762	399,195	449,741	502,339	571,541	718,969	719,727	778,227	784,850	637,763
Portugal,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	81,072	97,697	136,523	:
Romania,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	330,641	204,290	196,844	108,347	32,118	25,807	29,576	35,509	45,417	51,554	75,471	114,564	79,244
Slovenia,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	61,185	68,976	49,755	43,240	34,955	35,071	33,965	34,016	35,078	38,584	43,543	37,442	38,173	34,042	24,845	23,942	23,916	29,038	31,429	38,229	48,240	47,937	31,529
Slovakia,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Finland,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	131,830	97,997	65,095	51,465	63,455	74,386	82,878	89,225	106,025	114,295	108,273	91,412	98,837	125,042	120,536	:	116,128	89,817	70,331	48,582	64,854	72,128	66,808	64,194	64,181	69,469	79,042	81,435	89,497	88,141	75,765
Sweden,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	311,871	233,546	190,030	155,882	123,724	154,441	170,130	185,894	228,797	246,082	298,374	315,229	264,895	262,364	270,998	273,015	266,338	241,374	212,580	167,502	91,010	111,947	109,353	93,862	108,067	126,019	145,383	177,903	191,048	215,360	221,280	194,265
Iceland,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	5,393	5,231	6,352	8,517	10,153	12,751	14,248	12,196	6,629	6,457	9,447	12,170	18,149	:	:	:	:	:	:	:	:	:	:	:	13,645	12,061	8,233	5,706
Liechtenstein,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	2	2	2	2	2	:	:	:	1,220	1,210	:	1,200	1,190	1,272	1,081	1,070	1,227	1,126	1,041	979	1,072	951	1,116	1,152	1,186	922
Norway,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	55,796	61,240	51,606	55,768	54,888	:	91,852	134,905	142,177	129,163	111,526	112,104	:	:	:	99,281	:	68,382	39,970	37,649	32,398	37,908	37,924	53,440	57,700	54,912	55,671	82,910	90,074	78,323	59,964	51,138
Switzerland,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	329,861	314,281	302,764	278,165	248,454	254,027	257,210	259,507	257,127	278,426	293,896	285,407	272,734	240,771	211,547	197,776	185,120	185,800	185,100	189,100	182,200	200,600	211,500	200,600	191,300	187,000	193,200	188,600	195,200	203,400	214,900	160,700
United Kingdom,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	1,465,659	1,514,099	1,474,300	1,540,500	1,658,500	1,814,865	1,918,663	1,940,731	2,001,417	2,122,575	2,042,492	1,914,153	1,748,559	:	:	:	1,183,062	1,137,889	1,060,883	924,509	:	:	:	1,334,875	1,390,355	1,446,500	1,589,618	:	:
Montenegro,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	999	1,313	1,625	2,026	:
North Macedonia,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	8,868	:	:	:	:	:	:	:
Albania,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	10,336
Turkey,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	343,157	264,798	205,095	172,076	175,420	199,769	213,082	224,928	213,378	256,506	210,168	270,762	271,453	259,325	179,131	152,008	319,023
Bosnia and Herzegovina,Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	11,013	15,521	15,832	11,768	5,387
Kosovo (under United Nations Security Council Resolution 1244/99),Number,Petroleum products,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	2,928	2,126	0	:
Belgium,Number,Petroleum products,Less than 1 400 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	91,690	85,325	91,852	82,207	79,445	85,331	94,407	:	105,943	122,500	134,421	149,265	184,769	204,784	235,466	233,117	161,476
Bulgaria,Number,Petroleum products,Less than 1 400 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Czechia,Number,Petroleum products,Less than 1 400 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Denmark,Number,Petroleum products,Less than 1 400 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Germany (until 1990 former territory of the FRG),Number,Petroleum products,Less than 1 400 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	701,613	747,067	797,480	746,392	811,631	1,674,745	992,741	1,017,965	991,291	1,001,732	1,054,385	1,088,907	1,155,187	1,265,351	1,240,304	1,129,296	733,811
Estonia,Number,Petroleum products,Less than 1 400 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	2,018	3,181	3,213	3,688	3,739	:	4,881	5,053	4,395	1,594	1,956	3,810	3,827	4,128	5,621	6,637	7,688	9,221	9,071	8,832	5,487
Ireland,Number,Petroleum products,Less than 1 400 cm³	40,749	42,333	:	67,048	:	:	:	:	:	:	:	:	:	49,657	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	57,717	17,332	31,098	26,596	15,972	18,197	19,715	32,809	37,158	36,431	42,806	43,016	28,734
Greece,Number,Petroleum products,Less than 1 400 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	185,604	200,738	189,299	171,676	150,681	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Spain,Number,Petroleum products,Less than 1 400 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	254,175	240,970	197,144	181,289	205,866	159,214	154,430	:	228,987	312,917	398,904	482,346	586,445	562,756	351,230
France,Number,Petroleum products,Less than 1 400 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	708,208	690,419	657,217	568,453	444,807	376,948	371,951	:	364,320	344,843	350,903	550,902	477,911	475,831	389,394	450,119	520,808	665,464	779,228	881,284	1,040,150	1,091,298	733,866
Croatia,Number,Petroleum products,Less than 1 400 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	40,084	37,049	19,409	16,802	15,290	11,319	10,073	12,416	11,874	14,908	15,984	32,055	36,847	21,387
Italy,Number,Petroleum products,Less than 1 400 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	513,674	554,503	420,397	348,726	346,047	367,279	293,294	266,790	228,248	205,475	165,752	165,753	176,233	216,812	255,340	282,494	358,130	480,777	423,882
Cyprus,Number,Petroleum products,Less than 1 400 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	17,151	16,410	17,795	15,352	10,988	10,198	9,067	6,776	2,851	2,880	3,645	4,378	4,255	3,894	4,007	3,229
Latvia,Number,Petroleum products,Less than 1 400 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	2,787	3,714	5,144	4,737	4,629	4,108	2,714
Lithuania,Number,Petroleum products,Less than 1 400 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	11,800	12,696	13,286	13,816	16,254	16,035	10,466	9,493	6,223	7,345	7,617	8,665	9,761	11,758	15,882	19,986	31,091	:
