GEO,UNIT,MOT_NRG,ENGINE\TIME	1970	1975	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Latvia,Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	49,322	52,112	71,513	57,363	45,861	35,745	37,850	40,335	50,290	57,474	69,704	97,399	107,003	54,759	17,288	26,656	43,468	50,135	55,808	13,173	14,291	16,768	17,064	17,185	18,537	13,725
Lithuania,Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	154,850	122,142	173,057	147,105	142,069	115,808	71,328	93,305	118,263	134,612	173,644	185,271	220,236	191,768	136,803	161,266	132,117	153,024	155,855	136,098	131,606	139,871	161,115	169,143	163,925	40,878
Luxembourg,Number,Total,Total	11,633	17,356	22,796	22,440	23,008	25,796	26,482	28,597	29,235	32,960	32,660	33,847	34,382	38,648	44,055	37,133	30,679	30,124	:	:	:	36,353	40,989	42,304	43,164	43,677	43,765	48,273	48,517	50,837	51,332	52,359	47,264	49,726	49,881	50,398	46,624	49,793	46,473	50,561	52,775	52,811	54,069	45,189
Hungary,Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	143,073	:	45,122	63,058	45,833	55,970	62,660	70,827	101,328	126,085	130,323	137,771	160,238	190,107	188,488	:	151,670	136,032	176,678	:	61,324	76,528	106,671	56,510	68,016	77,414	96,735	116,305	136,755	158,167	128,196
Malta,Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	8,218	:	:	:	:	10,102	10,624	9,226	10,750	13,341	13,055	10,295	10,267	:	:	10,058	9,966	9,574	9,542	15,816	13,605	15,875	13,037	13,094	15,439	7,168	7,306	7,776	8,175	7,698	4,602
Netherlands,Number,Total,Total	432,231	450,220	575,059	450,974	389,312	406,774	459,131	461,391	495,685	560,512	555,743	482,617	495,653	502,671	490,407	492,130	391,934	433,913	:	:	478,318	543,110	611,776	597,623	530,287	510,744	488,977	483,885	465,196	483,999	505,779	500,098	387,408	482,633	555,846	502,479	416,717	387,568	448,906	382,512	414,309	443,529	445,217	355,431
Austria,Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	:	276,065	288,636	303,723	320,094	285,162	273,663	279,610	307,671	275,001	295,865	314,182	309,427	293,528	279,493	300,121	311,292	:	308,594	298,182	293,697	319,403	328,563	356,145	336,010	319,035	303,318	308,555	329,604	353,320	341,068	329,363	248,740
Poland,Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	358,055	734,885	471,026	477,353	486,600	450,769	627,349	722,245	557,783	599,250	519,407	450,095	421,167	274,392	833,021	979,082	923,783	1,128,684	1,280,633	864,295	873,098	928,457	908,906	987,809	1,047,598	1,145,506	1,361,270	1,336,787	1,430,332	1,453,505	1,179,776
Portugal,Number,Total,Total	83,800	90,167	77,281	97,034	123,149	129,631	113,632	103,264	104,423	114,400	938,889	208,629	192,772	212,348	231,176	280,035	248,462	243,254	228,812	268,542	287,730	323,981	351,575	340,397	302,763	267,374	:	:	:	:	:	:	181,132	248,813	177,183	110,002	123,334	172,642	224,892	272,603	292,209	305,710	303,798	202,986
Romania,Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	125,142	105,986	90,047	:	:	:	:	149,290	179,531	312,515	436,349	586,476	328,880	309,952	176,555	66,789	57,700	70,175	81,175	95,181	106,873	130,921	161,564	126,329
Slovenia,Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	31,191	59,878	47,217	61,700	59,358	64,357	67,133	77,217	55,120	52,316	50,859	59,881	62,697	60,531	59,885	67,791	71,037	57,391	60,777	59,813	49,700	51,968	54,086	60,668	64,899	72,477	74,518	72,710	53,367
Slovakia,Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	41,694	:	:	107,576	85,551	76,007	58,152	54,352	66,759	67,298	71,954	71,954	:	:	146,292	151,814	148,370	126,663	130,772	130,818	65,466	71,693	78,180	88,504	96,312	98,602	101,743	76,300
Finland,Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	:	177,610	139,742	92,979	68,891	56,003	67,434	80,145	96,163	104,963	126,386	137,017	135,243	109,911	117,486	148,020	143,160	:	146,201	126,022	140,216	90,923	112,418	126,651	111,664	103,450	106,235	108,819	119,000	118,587	120,505	114,202	96,418
Sweden,Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	:	314,126	235,192	191,755	157,295	127,738	159,578	175,061	200,154	258,944	286,671	327,710	342,965	280,280	281,446	293,035	297,405	297,050	300,502	321,705	257,806	228,519	308,718	326,615	301,316	292,162	324,030	361,908	387,997	392,717	365,513	366,946	293,771
Iceland,Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	5,662	5,570	6,931	9,515	11,734	15,064	17,007	14,769	7,669	7,375	10,833	13,927	22,141	:	:	:	:	:	:	:	:	:	:	:	25,900	21,227	13,636	10,622
Liechtenstein,Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	2	2	2	2	2	1,937	2,065	2,074	1,770	1,790	:	1,890	1,990	2,005	1,620	1,782	2,029	2,108	1,920	1,800	2,049	1,984	2,024	1,849	1,953	1,510
Norway,Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	70,611	56,944	63,668	55,111	61,648	63,988	91,336	97,880	146,835	154,654	141,090	123,843	126,978	:	:	:	145,538	:	142,572	162,970	138,241	125,903	159,374	168,552	171,828	150,018	149,963	158,577	160,404	167,692	158,837	148,682	147,120
Switzerland,Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	319,408	338,969	322,974	310,193	286,289	256,917	265,892	267,975	272,214	270,625	295,165	314,691	314,482	314,580	293,034	269,711	267,476	260,682	269,700	284,000	288,000	266,500	296,600	328,000	334,000	310,200	304,100	327,100	319,300	315,000	300,900	312,900	238,700
United Kingdom,Number,Total,Total	1,116,196	1,197,206	1,764,437	1,566,459	1,539,586	1,676,982	1,938,169	1,893,313	1,983,096	2,024,992	2,166,201	2,382,480	2,480,048	2,075,982	1,665,664	1,663,846	1,845,714	1,982,929	1,938,100	2,105,914	2,250,870	2,362,589	2,414,660	2,432,149	2,663,288	2,756,342	2,720,096	2,668,449	:	:	:	2,112,000	1,968,000	1,996,324	1,907,411	:	:	:	2,602,146	2,665,251	2,509,330	2,341,505	:	:
Montenegro,Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	2,300	2,979	3,225	3,196	:
North Macedonia,Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	13,809	13,069	4,802	8,361	10,152	14,268	13,270	8,911	8,676	9,840	13,763	4,755	32,641	:	:	15,894	12,450	16,914	17,914	13,113	49,291	40,090	32,870	31,927	29,766	29,308	30,423	26,609	33,072	39,217	29,952
Albania,Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	43,661
Turkey,Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	218,059	:	317,044	441,534	244,289	200,658	219,230	299,108	271,843	:	354,013	117,196	170,191	176,217	432,728	406,807	396,542	353,495	353,168	357,986	485,619	602,248	565,791	654,905	585,814	746,395	746,074	741,902	526,235	386,748	601,525
Bosnia and Herzegovina,Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	60,492	60,522	72,215	73,290	41,146
Kosovo (under United Nations Security Council Resolution 1244/99),Number,Total,Total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	19,500	9,842	22,587	:
Belgium,Number,Total,Less than 1 400 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Bulgaria,Number,Total,Less than 1 400 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Czechia,Number,Total,Less than 1 400 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Denmark,Number,Total,Less than 1 400 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Germany (until 1990 former territory of the FRG),Number,Total,Less than 1 400 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Estonia,Number,Total,Less than 1 400 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Ireland,Number,Total,Less than 1 400 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Greece,Number,Total,Less than 1 400 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Spain,Number,Total,Less than 1 400 cm³	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
