Country;Happy_Index;BAC_limit;Age_to_drive;Urban_speed_limits;Motorway_speed_limits;AVG_Income;Avg_car_age;GDP_PPS;Road_length;n_accidents_by_100k;R_Mortality;Educ_H;Alcohol_Consumption
Romania;71;0;18;50;130;5302;16;60;747;156078;10.3;15.1;3.091
Spain;37;0.5;18;50;120;17771;12;92;15444;220209;4.1;32.7;13.858
Sweden;10;0.2;18;50;110;22787;9.833;124;2118;141952;3.1;35.3;1.919
Switzerland;2;0.5;18;50;120;31889;8.6;168;1447;209916;2.7;35.4;11.833
Austria;13;0.5;18;50;130;24531;8.522;131;1719;439215;5.7;28.1;6.202
Belgium;17;0.5;18;50;120;21779;8.389;121;1763;36596;6.7;32.7;10.554
Denmark;2;0.5;18;50;130;22651;8.489;128;1237;50198;3.5;30.2;10.445
Finland;5;0.2;18;50;120;21455;12.244;111;881;94625;5.1;35.5;2.644
France;31;0.5;18;50;130;23212;9.044;107;11599;85051;5.5;30.5;10.771
Germany;16;0.5;18;50;130;23132;9.156;124;12993;374185;4.4;23.8;8.16
Greece;87;0.5;18;50;130;10173;14.444;70;1589;105722;9.3;25.4;6.419
Iceland;3;0.5;18;50;90;23323;10.067;129;11;275683;4.8;31.7;1.088
Ireland;15;0.5;17;50;120;20217;8.844;181;916;124012;3.6;39;2.611
Italy;48;0.5;18;50;130;17380;10.822;97;6943;287399;5.9;15.5;13.165
Luxembourg;18;0.5;18;50;130;32969;6.278;282;161;172576;6.5;35.2;9.683
Netherlands;6;0.5;18;50;130;21785;10.067;131;2756;109345;3.8;30.5;9.03
Norway;1;0.2;18;50;100;30395;10.633;158;392;87943;2.6;36.7;1.523
Poland;46;0.2;18;60;140;11450;15.256;69;1559;86786;9.3;24.4;1.741
Portugal;89;0.5;18;50;120;12226;12.578;78;3065;308484;8.3;20.7;22.522
Romania;57;0;18;50;130;5036;15.833;56;747;146067;10;15;3.155
Spain;34;0.5;18;50;120;16691;11.767;91;15336;210478;4.2;32.1;14.144
Sweden;10;0.2;18;50;110;21676;9.778;128;2119;150043;3.2;34;1.958
Switzerland;4;0.5;18;50;120;30512;8.6;173;1440;214141;3.1;34.2;12.077
Austria;13;0.5;18;50;130;24340;8.63;132;1719;444131;5.1;27.4;6.2
Belgium;17;0.5;18;50;120;21152;8.219;121;1763;378685;6.7;32.6;14.2
Denmark;2;0.5;18;50;130;22316;8.519;129;1232;5105;3.5;29.4;11.3
Finland;5;0.2;18;50;120;21221;12.393;113;881;97024;4.4;34.7;2.7
France;31;0.5;18;50;130;22444;9.126;108;11560;87753;5.4;29.8;10.987
Germany;16;0.5;18;50;130;21914;9.107;127;12949;373457;4.3;23.2;9.3
Greece;87;0.5;18;50;130;10033;14.259;72;1558;107322;9.3;24.6;6.9
Iceland;3;0.5;18;50;90;21947;10.089;124;11;246803;1.8;30.2;0.6
Ireland;15;0.5;17;50;120;19361;8.859;138;897;124438;4.3;38;2
Italy;48;0.5;18;50;130;17340;10.83;98;6844;291221;5.8;15;14.1
Luxembourg;18;0.5;18;50;130;31759;6.27;283;152;163216;6.5;39.6;9.6
Netherlands;6;0.5;18;50;130;20873;9.956;133;2730;79205;3.5;29.7;9.211
Norway;1;0.2;18;50;100;29891;10.644;178;392;96784;3;36.1;2.1
Poland;46;0.2;18;60;140;11057;15.807;68;1556;91998;10.4;23.8;1.8
Portugal;89;0.5;18;50;120;12128;12.604;77;3065;294239;8.5;19.7;24.2
Romania;57;0;18;50;130;4555;15.711;56;683;127355;10;14.2;3.8
Spain;34;0.5;18;50;120;16480;11.722;90;15049;197006;4.2;31.7;15.3
Sweden;10;0.2;18;50;110;21129;9.737;127;2088;135013;3.2;32.8;2.7
Switzerland;4;0.5;18;50;120;30024;8.6;173;1429;217411;3.1;32.9;12.318
