DATAFLOW,LAST UPDATE,freq,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,AT,2000,826000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,AT,2001,828000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,AT,2002,866000,b
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,AT,2003,866000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,AT,2004,832000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,AT,2005,824000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,AT,2006,824000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,AT,2007,842000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,AT,2008,863000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,AT,2009,872000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,AT,2010,867000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,AT,2011,855000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,AT,2012,869000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,AT,2013,891118,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,AT,2014,936269,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,AT,2015,946901,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,AT,2016,939044,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,AT,2017,890343,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,AT,2018,874539,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,AT,2019,900900,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,AT,2020,964148,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,BE,2000,1093000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,BE,2001,1158000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,BE,2002,1229000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,BE,2003,1230000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,BE,2004,1196000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,BE,2005,1134000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,BE,2006,1078000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,BE,2007,1100000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,BE,2008,1116000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,BE,2009,1198000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,BE,2010,1247000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,BE,2011,1307000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,BE,2012,1257000,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,BE,2013,1277613,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,BE,2014,1319138,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,BE,2015,1314983,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,BE,2016,1251909,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,BE,2017,1167598,
ESTAT:ROAD_EQS_CARAGE(1.0),01/07/22 23:00:00,A,NR,Y2-5,BE,2018,1175944,
