Country,AVG_Income,Avg_car_age,GDP_PPS,R_Mortality,Educ_H,Year
Bulgaria,8248,14,13900,10.2,24.4,2016
Bulgaria,9648,14.7,14700,9.9,24.5,2017
Bulgaria,9338,15.5,15600,8.9,24.8,2018
Croatia,8589,11.2,16000,8.2,18.5,2014
Croatia,9186,11.2,16700,9.3,19.7,2015
Croatia,9944,11.3,17500,8.1,20,2016
Croatia,10418,14.1,18600,8.7,20.6,2017
Croatia,10926,8.9,19600,8.4,22,2018
Czechia,12513,8.6,23300,6.7,19.1,2014
Czechia,13100,10.6,24400,7.2,19.8,2015
Czechia,14023,12.6,25100,5.9,20.6,2016
Czechia,14167,14.5,26700,5.6,21.4,2017
Czechia,14737,14.3,27900,6.3,21.7,2018
Estonia,11287,11,20700,6.1,32.6,2014
Estonia,12536,12.6,21000,6.4,32,2015
Estonia,13873,14.1,21700,6.1,33.1,2016
Estonia,14148,15.1,23300,4.1,33.6,2017
Estonia,14938,14.6,24600,5.7,34.1,2018
Hungary,8583,8.5,18400,8,20.2,2014
Hungary,8987,10.3,19300,7.8,20.9,2015
Hungary,9359,12.2,19400,7.8,20.6,2016
Hungary,9348,14.5,20300,8,20.9,2017
Hungary,9764,13.9,21600,8.1,21.7,2018
Latvia,8912,7.8,17100,12.4,26.9,2014
Latvia,9698,10.2,18000,11.2,28.1,2015
Latvia,10958,12.6,18600,9.3,29.5,2016
Latvia,10967,16.3,19700,8.1,30,2017
Latvia,11956,16,21000,9.1,30.1,2018
Lithuania,9408,7.6,20200,11.2,31.4,2014
Lithuania,10455,10.7,20700,10.5,33.2,2015
Lithuania,11651,13.8,21500,8.1,34.1,2016
Lithuania,12093,16.7,23200,8.2,34.8,2017
Lithuania,13061,16.9,24700,7.5,36.1,2018
Malta,17532,7.8,24600,2.3,19.4,2014
Malta,18758,8.9,26900,2.8,19.9,2015
Malta,19656,9.9,27600,6,20.3,2016
Malta,20198,9.6,29800,4.9,22.1,2017
Malta,20319,10.4,30900,4.6,24.6,2018
Slovakia,10777,11.3,20700,6.6,18.1,2014
Slovakia,10755,11.9,21500,6.4,18.9,2015
Slovakia,11129,12.5,20600,6.3,19.7,2016
Slovakia,10017,13.4,20600,6.2,20.7,2017
Slovakia,10277,13.5,21200,6.1,22,2018
Slovenia,15451,8.1,22100,5.5,25.1,2014
Slovenia,16180,8.6,22700,6,26.6,2015
Slovenia,16320,9.1,23600,6.5,27.2,2016
Slovenia,16289,11.2,25100,5.2,28.7,2017
Slovenia,16823,11.3,26400,4.5,28.7,2018
